IDNum,frag,dmg,spot,def,win
10497,1.15,880.75,0.73,0.74,54.81
10513,0.88,1229.43,1.25,0.84,51.05
10529,1.38,670.61,1.76,1.51,57.52
10577,1.41,195.95,0.26,1.32,56.18
10753,0.95,1695.84,0.97,0.69,52.57
10769,0.97,1098.74,0.99,1.04,53.38
10785,0.87,1813.53,1.21,0.73,48.63
10817,0.9,989.07,0.68,1.01,51.48
10833,1,361.14,0.1,1.88,53.4
11009,0.83,1206.36,0.85,0.72,52.25
11025,1.06,1081.86,0.53,0.97,50.47
11041,0.95,1003.48,1,1.12,52.75
11073,0.99,1650.32,0.97,0.87,50.07
11089,1.22,647.73,0.11,1.7,55.25
11265,1.05,816.85,0.92,0.81,54.57
11281,1.5,565.29,1.03,1.57,57.75
11297,1.04,1439.56,0.53,0.96,51.1
11345,0.92,993.36,0.07,1.66,51.29
11521,0.89,1540.88,1.14,0.67,50.23
11537,1.14,1538.09,0.81,0.96,51.19
11553,1.2,902.91,1.48,1.3,55.27
11585,0.95,731.25,0.65,1,50.75
11601,0.99,1703.97,0.03,0.77,50.38
11777,1.21,629.78,0.88,1,54.45
11793,1.2,938.85,0.7,1.2,51.86
11809,1.1,902.09,1.81,1.35,52.39
11841,1.12,1887.05,0.07,1.25,48.81
11857,1.14,853.36,0.16,2.15,54.53
12033,0.97,1542.79,0.9,0.86,49.94
12049,1.08,2166,0.68,0.53,49.08
12097,0.96,1315.14,0.79,0.95,50
12113,0.93,1306.53,0.03,0.86,50.24
12289,1.03,683.16,2.02,0.98,54.35
12305,0.91,1815.14,1.45,0.71,48.32
12369,1.02,2244.39,0.03,0.97,51.69
12545,0.99,951.71,1.7,0.83,53.38
12561,1.13,243,3.07,1.15,56.92
12817,1.21,195.14,2.65,0.8,59.1
12881,1.44,666.89,1.55,1.04,58.15
13073,1.03,272.73,1.84,1.35,58.35
13089,1.06,2177.48,0.84,0.62,49.24
13137,0.87,1610.79,1.04,0.69,50.07
13313,1.03,1279.62,1.42,0.96,52.81
13329,1.21,417.73,1.03,1.27,54.75
13345,0.86,1131.01,1,0.97,51.19
13393,1.26,620.69,1.03,1.39,55.62
13569,1.17,2299.37,0.83,0.77,49.06
13585,1.21,406.33,1.72,1.29,57.62
13825,0.92,1698.26,1.62,0.76,48.56
13841,0.86,1162.01,1.22,1,50.42
13857,1.12,2318.01,0.81,0.6,51.29
13889,1.27,2346.05,0.92,0.76,49.73
13905,1.25,2329.98,0.59,0.57,48.77
14097,1.04,735.74,1.68,1.08,54.27
14113,0.88,1714.31,1.59,0.68,47.79
14145,0.66,462.17,2.61,0.75,53.93
14161,0.95,1003.48,1,1.12,52.75
14337,1.13,2190.82,0.99,0.81,49.72
14353,0.61,667.9,2.07,0.6,51.29
14401,0.95,1598.09,0.05,1.04,49.62
14417,1.11,849.66,0.94,1.17,54.82
14609,0.96,1827.88,1.67,0.91,47.92
14625,1.03,1272.64,1.32,1.08,52.22
14657,1.09,427.29,0.12,1.58,54.04
14673,1.09,1488.75,0.62,0.94,50.72
14865,0.86,1451.4,1.4,0.89,48.89
14881,1.13,2157.48,0.84,0.75,49.56
15105,1.43,337.87,1.49,1.63,58.12
15121,1.02,192.52,0.18,1.31,57.53
15137,0.56,466.7,2.39,0.59,52.87
15361,1.56,260.95,1.59,1.72,61.47
15377,0.91,1316.65,0.04,0.64,50.11
15393,1.12,1698.56,1.03,0.78,51.01
15617,1,1811.66,1.74,0.85,49.66
15633,1.22,470.38,0.11,1.68,55.35
15649,0.67,712.99,2.6,0.64,52.48
15873,1.12,380.82,1.73,1.36,58.59
15889,1,737.19,1.41,1.02,52.16
15905,0.79,1651.72,1.48,0.72,46.45
16129,0.93,1075.26,0.04,0.85,52.37
16145,1.22,643.66,0.8,1.14,52.98
16161,1.02,1777.19,0.04,0.9,51.3
16385,1.02,575.07,0.09,1.25,53.06
16401,1.18,1972.18,0.68,0.94,50.69
16417,1.04,840.34,0.08,1.39,53.08
16641,0.51,365.84,3.47,0.59,53.1
16657,1.29,1724.44,0.63,1.12,52.11
16673,0.71,632.34,2.3,0.86,53.22
16897,1.01,1833.6,1.7,0.89,49.47
16913,1.47,2496.73,0.53,0.84,49.87
17153,1,1785.87,1.65,0.88,50.03
17169,1.51,333.55,1.32,1.03,59.26
17425,1.16,443.43,1.35,0.99,55.97
17665,1.03,1548.16,1.56,0.87,53.24
17937,1.43,488.97,0.81,1.19,56.74
17953,0.82,874.78,2.57,0.82,52.94
18177,0.63,883.93,2.33,0.65,51.84
18193,1.31,611.02,1.41,0.96,56.68
18209,0.62,921.84,1.92,0.59,51.24
18433,0.75,783.58,2.82,0.8,54.3
18449,0.68,911.55,2.39,0.75,51.62
18689,1.41,729.97,1.36,1.16,58.91
51201,1.5,699.26,1.42,1.37,60.67
51457,1.36,578.41,1.19,1.45,57.86
51473,0.66,450.51,1.61,0.71,49.63
51489,1.23,210.73,2.67,1.1,57.42
51553,1.06,550.49,1.08,1.19,53.9
51713,1.28,612.11,1.19,1.3,55.12
51729,2.01,380.52,2,2.09,68.24
51745,1.19,549.92,1.46,1.19,57.24
51809,1.36,332.4,1.8,1.35,59.48
51985,1.7,391.83,1.54,1.73,61.13
52001,1.08,252.87,2.53,1.27,57.56
52225,1.7,359.74,2.39,1.71,61.83
52241,1.79,519.5,1.67,1.73,60.86
52257,1,445.08,1.54,0.9,54.41
52481,1.46,409.99,1.54,1.63,57.22
52497,2.11,345.64,1.91,2.65,57.09
52513,0.85,1136.19,1.18,0.82,47.48
52561,1.08,1820.73,0.63,0.87,51.56
52737,1.04,235.25,1.69,1.17,53.4
52769,1.16,276.63,2.67,1.34,57.51
52993,0.87,293.06,2.4,0.78,54.78
53249,0.99,1266.56,1.1,0.85,51.87
53505,1.79,373.25,1.79,1.73,59.84
53537,1.15,202.07,1.76,0.95,56.92
53585,1.24,574.64,0.83,1.49,55.41
53761,1.46,670.32,0.88,1.72,54.75
53793,0.86,1118.55,1.58,0.99,51.7
53841,1.16,863.71,0.62,1.24,52.6
54017,1.5,699.26,1.42,1.37,60.67
54033,0.66,450.51,1.61,0.71,49.63
54097,0.93,970.33,0.71,1.21,51.99
54273,2.22,453.48,0.97,1.81,62.7
54289,0.83,1239.23,0.87,0.86,49.33
54353,1.43,661.43,1.61,1.31,57.56
54529,1.63,279.98,1.53,1.46,58.64
54545,1.16,570.31,1.57,1.21,55.99
54609,1.12,279.39,0.13,1.61,53.94
54785,1.26,909.16,0.61,0.87,55.28
54801,1.18,270.45,3.01,1.41,59.85
54865,1.43,210.41,1.99,1.24,58.91
55057,1.3,610.92,1.34,1.62,53.61
55073,1.24,182.84,1.99,1.19,57.82
55297,1.25,1164.81,0.81,0.95,54.33
55313,0.97,1303.38,0.77,1.12,49.76
55569,1.31,1061.27,1.6,1.69,51.64
55841,0.79,1651.72,1.48,0.72,46.45
56097,1,690.05,1.54,1,55.03
56353,0.98,1241.29,0.93,0.96,50.35
56577,1.4,303.68,1.5,1.55,57.47
56609,1.07,1089.15,0.81,1.13,53.42
56833,0.85,779.58,1.54,0.93,53.6
57089,0.85,779.58,1.54,0.93,53.6
57105,1.14,863.1,0.79,1.14,52.25
57361,0.98,736.75,1.07,1.24,52.27
57617,0.93,870.17,1.27,1.19,51.98
58113,1.03,683.16,2.02,0.98,54.35
58369,0.84,1771.13,1.31,0.63,47.91
58641,0.96,2025.56,1.14,0.52,49.81
59665,1.19,300.59,1.07,1.05,56.53
60177,0.82,1076.79,1.33,0.9,51.94
60433,1.21,195.14,2.65,0.8,59.1
60689,1.19,599.06,0.75,1.31,53.81
60945,0.94,1457.35,1.8,0.81,51.34
64049,0.89,1112.93,1.5,0.75,49.6
64065,0.93,1244.66,1.51,1.07,50.04
64561,0.94,1278.38,1.35,0.75,52.25
64817,0.62,528.91,2.67,0.74,51.69
52065,0.89,1196.34,1.34,1.05,51.48
63553,0.93,1120,1.51,1.07,50.04
58625,1.19,1588.72,0.56,0.79,51.54
63809,0.6,586.53,2.09,0.6,52.04
12577,1.44,666.89,1.55,1.04,58.15
55633,0.82,1147.96,1.31,0.91,52.68
59905,0.82,1147.96,1.31,0.91,52.68
61457,0.9,427.4,1.59,0.85,52.96
