IDNum,frag,dmg,spot,def,win
1,1.09,514.27,1.46,1.06,55.56
33,1.33,606.91,1.54,1.21,55.78
49,0.88,1056.54,1.7,0.91,50.94
81,1.88,240.35,1.17,1.17,58.74
257,1.19,595.07,0.56,1.2,54.53
273,1.05,1002.2,0.08,1.33,50.74
289,1.08,252.87,2.53,1.27,57.56
305,0.58,616.27,2.35,0.67,50.46
321,1.29,300.6,0.92,1.46,57.94
337,1.64,274.36,1.04,1.35,58
353,1.51,249.89,1.42,1.29,58.96
513,1.03,1078.74,1.08,0.76,53.52
529,0.99,1100.5,0.99,1,52.84
545,1.69,213.47,2.18,1.28,58.77
561,0.88,1056.54,1.7,0.91,50.94
577,1.72,219.8,1.37,1.5,59.45
593,1.49,251.35,2.57,1.34,59.39
609,1.75,217.76,1.31,1.88,58.33
769,0.88,218,2.1,1.03,54.71
785,1.63,275.47,1.92,1.65,59.76
801,1.04,829.81,1.08,0.85,53.56
817,1.11,1431.77,1.19,0.83,53.64
833,1.41,247.23,0.15,2.18,55.88
849,1.33,502.84,0.88,1.61,58.01
865,1.64,279.18,1.71,1.26,58.94
1025,1.54,265.05,2.02,1.24,58.91
1041,1.19,599.06,0.75,1.31,53.81
1057,1.44,666.89,1.55,1.04,58.15
1073,0.97,967.93,1.57,0.97,54.07
1089,1.04,335.58,1.11,1.19,52.91
1105,1.04,711.06,2.06,0.95,55.05
1121,0.95,950.98,1.05,1.07,51.43
1297,0.88,894.97,1.22,1.19,52.69
1313,1,690.05,1.54,1,55.03
1329,1.92,252.45,1.49,1.66,57.82
1345,1.46,240.71,1.38,1.81,58.89
1361,1.08,252.87,2.53,1.27,57.56
1377,1,512.14,1.23,1.06,54.07
1537,1.12,418.64,1.27,0.92,56.8
1553,1.06,739.43,0.77,1.19,52.29
1569,0.95,958.11,1.74,1.03,54.31
1585,0.82,1035.29,1.66,0.88,50.43
1601,1.43,236.13,1.16,1.85,55.79
1617,1,344.64,0.84,0.84,54.28
1633,1.07,398.04,1.27,1.09,55.72
1793,0.95,1329.1,0.05,0.84,50.34
1809,1.49,477.76,0.62,1.12,56.82
1825,1.49,251.35,2.57,1.34,59.39
1841,0.9,1453.89,1.51,0.69,50.42
1889,1.03,761.32,1.12,1.09,52.19
2049,0.74,273.73,2.37,0.84,55.37
2065,1.51,250.64,2.07,1.51,58.68
2081,1.43,272.68,0.36,2.01,55.72
2097,0.92,1657.16,1.29,0.63,51.35
2113,1.4,703.54,0.1,1.88,54.89
2129,0.98,456.88,1.76,1.1,54.74
2145,1.48,362.98,1.31,1.33,58.57
2305,1.09,1075.09,0.54,0.83,52.83
2321,1.1,810.08,1.26,1.09,54.6
2353,1.7,280.61,1.52,1.41,59.7
2369,1.86,450.04,1.08,1.77,60.06
2385,1.19,300.59,1.07,1.05,56.53
2401,1.36,332.4,1.8,1.35,59.48
2561,1.02,734.66,1.45,0.96,55.05
2577,1.07,664.49,1.27,1.08,53.89
2593,1.02,1787.68,0.75,0.62,50.55
2625,0.95,806.35,0.91,0.79,52.33
2657,0.89,1196.34,1.34,1.05,51.48
2817,1.16,892.47,1.14,0.74,54.9
2833,1.25,400.31,0.18,1.67,57.64
2849,0.84,1298.47,0.83,0.71,50.6
2865,0.91,1304.61,1.15,0.8,52.4
2881,0.71,239.62,0.86,0.91,52.49
2897,1.17,630.42,0.91,1.2,54.92
2913,1.19,425.95,1.84,1.32,57.71
3073,1.11,268.97,1.43,1,56.25
3089,1.95,258.63,2.26,1.5,59.48
3105,1,344.64,0.84,0.84,54.28
3121,0.95,346.57,2.4,1.05,55.71
3137,1.1,1405.35,0.92,1.02,51.27
3153,0.94,1011.85,0.88,1.1,54.08
3169,1.51,265.35,1.54,1.8,58.65
3329,1.92,249.77,1.43,1.51,59.03
3345,1.55,363.12,1.57,1.37,60.14
3361,1.24,638.89,1.21,1.12,55.52
3377,0.59,645.6,2.56,0.58,52.08
3393,1.36,491.42,0.15,2.05,54.84
3409,0.96,239.84,0.12,1.37,53.78
3425,0.96,1625.42,1.31,0.82,50.6
3585,1.24,876.79,0.81,1.13,54.85
3601,2.01,327.84,1.16,1.66,59.92
3617,1.04,574.73,0.11,1.95,51.01
3633,1.06,1134.25,1.13,0.83,54.18
3649,1.12,1821.23,2.04,0.87,49.04
3665,0.95,806.35,0.91,0.79,52.33
3681,1.04,1968.87,1.58,0.83,49.75
3841,1.35,251.57,0.12,1.67,53.42
3857,1.07,1101.36,0.74,1.03,52.53
3873,1.1,1233.9,1.15,0.98,54.89
3889,0.55,731.77,2.74,0.58,50.72
3905,1.02,1667.38,0.87,0.8,49.45
3921,0.81,1213.79,1.11,0.93,51.58
4097,1.01,1439.64,0.02,0.71,50.88
4113,0.93,860.5,1.58,0.99,52.34
4129,1.09,1047.08,0.07,1.56,51.23
4145,0.93,1787.87,1.41,0.68,48.2
4161,1.18,649.76,0.1,2.3,52.34
4353,0.82,1014.58,1.65,0.85,52.59
4369,1.01,339.46,1.96,0.9,56.28
4385,0.92,1294.05,1.23,0.92,52.54
4401,1.48,365.03,1.36,1.37,59.5
4433,0.87,1610.79,1.04,0.69,50.07
4609,1.67,282.37,1.4,1.67,60.03
4625,1.11,446.05,0.17,1.68,54.1
4641,1.06,404.02,0.14,1.58,53.48
4657,1.1,511.81,1.49,1.09,53.93
4673,1.12,1061.24,0.08,1.69,52.13
4689,0.99,756.4,0.78,1.06,53.16
4865,1.19,697.45,0.1,1.66,53.65
4881,1.2,278,1.86,0.94,56.96
4897,1.38,302.83,1.56,1.08,57.42
4913,0.53,383.93,2.71,0.51,52
4929,0.7,836.95,2.45,0.65,51.76
4945,0.86,333.95,0.86,1.22,54.69
5121,1.8,298.73,0.47,1.46,59.07
5137,0.86,1247.99,1,0.83,50.75
5153,0.85,289.51,2.62,0.98,56.83
5169,1,701.37,1.6,0.97,53.07
5185,0.6,586.53,2.09,0.6,52.04
5201,1.87,319.65,1.57,1.59,59.85
5377,0.94,1331.96,1.06,0.76,52.04
5393,0.61,351.24,2.78,0.66,53.55
5409,0.94,427.81,2.19,0.99,55.2
5425,0.84,1771.13,1.31,0.63,47.91
5457,1.01,929.79,1.77,1.06,53.33
5633,1.15,1148.14,0.06,1.32,52.49
5649,1.11,665.17,0.11,1.56,52.7
5665,1.53,260.74,1.75,1.27,59.88
5697,0.96,1407.12,1.35,0.79,49.42
5713,0.91,1588.38,1.28,0.85,50.84
5889,1.05,1121.31,0.88,0.77,54.16
5905,1.15,425.16,0.14,1.7,53.47
5921,0.86,1118.55,1.58,0.99,51.7
5953,0.99,219.46,0.95,1.6,55.63
5969,0.82,1147.96,1.31,0.91,52.68
6145,0.91,1871.69,1.1,0.76,49.02
6161,0.89,323.33,2.77,0.97,57.51
6177,2.11,312.85,1.21,1.5,58.21
6209,1.05,1980.08,0.95,0.82,48.19
6225,0.91,1901.63,1.1,0.66,48.36
6401,1.64,407.49,0.98,1.59,58.41
6417,0.9,427.4,1.59,0.85,52.96
6433,1.5,364.48,1.31,1.17,58.78
6465,0.59,493.2,2.02,0.57,51.92
6481,1.04,369.65,1.87,1.05,56.99
6657,0.94,877.16,1.56,1,54.34
6673,1.45,406.89,1.08,1.45,58.75
6721,1.22,648.05,0.88,0.99,54.31
6913,1.57,580.78,1.16,1.47,58.94
6929,0.85,1783.87,0.93,0.69,49.46
6945,1.26,620.69,1.03,1.39,55.62
6977,0.88,1024.94,0.94,0.92,51.7
6993,1.39,305.51,1.03,1.04,56.01
7169,0.86,1789.37,1.23,0.62,49.14
7185,0.93,678.91,1.29,0.82,52.86
7201,1.11,849.66,0.94,1.17,54.82
7233,0.95,1266.11,0.06,1.36,50.45
7249,0.96,1886.82,1.39,0.8,48.31
7425,1.19,1588.72,0.56,0.79,51.54
7441,0.87,1540.44,0.95,0.64,50.02
7457,1.05,1568.7,0.05,0.87,50.89
7489,0.98,1443.84,0.06,1.14,50.11
7505,1.48,361.38,1.88,1.12,60.24
7681,1.6,600.17,0.12,2.08,58.49
7697,1.09,1488.75,0.62,0.94,50.72
7713,1.54,579.16,1.28,1.54,58.95
7745,2.03,331.49,0.94,1.93,59.36
7761,1.85,314.54,2.21,1.36,61.18
7937,0.94,1457.35,1.8,0.81,51.34
7953,1.08,1835.74,0.65,0.81,50.02
7969,1.01,1299.66,0.06,1.11,50.89
8017,1.63,387.6,0.9,1.66,58.8
8193,1.24,2056.67,0.7,0.83,51.57
8209,0.75,275.3,2.3,0.82,55.31
8225,1.01,1390.41,0.52,0.93,50.77
8257,1.49,375.37,1.11,1.8,58.75
8273,1.78,291.66,1.44,1.52,59.2
8449,1,1672.34,0.03,0.71,49.67
8465,0.82,1076.79,1.33,0.9,51.94
8481,0.95,1886.27,0.04,0.72,48.47
8529,1.06,1443.76,0.66,1.19,52.5
8705,1.02,1912.22,0.05,0.9,48.59
8721,0.93,1566.33,0.04,0.63,48.51
8737,1.09,1820.48,0.5,0.67,51.91
8785,1.19,579.58,0.81,1.56,57.32
8961,0.85,779.58,1.54,0.93,53.6
8977,1.02,1306.13,0.05,1.04,50.37
8993,0.89,1444.58,1.64,0.72,50.36
9041,1.32,475.48,1.46,1.59,57.5
9217,1.11,1431.77,1.19,0.83,53.64
9233,0.97,1844.31,0.04,0.62,48.11
9249,1.07,1089.15,0.81,1.13,53.42
9297,1.25,2329.98,0.59,0.57,48.77
9473,0.7,260.62,2.99,0.65,55.52
9489,0.94,1959.15,1.03,0.53,49.67
9505,0.88,1567.62,1.12,0.68,50.08
9553,1.12,823.44,0.7,1.41,56.13
9745,0.92,1608.91,1.08,0.7,50.77
9761,0.65,492.3,2.75,0.72,53.8
9793,1.18,399.26,0.57,0.98,54.53
9809,0.9,703.56,0.42,1.03,52.42
9985,0.98,1241.29,0.93,0.96,50.35
10001,0.64,520.86,2.7,0.52,53.52
10017,1.06,745.05,1.22,1.1,54.3
10049,1.39,697.03,0.92,1.42,55.13
10065,1.18,1241.6,0.7,1.3,56.42
10241,1.03,1029.66,0.85,1.16,53.31
10257,0.89,1482.21,1.44,0.68,49.75
10273,1.33,499.46,1.58,1.59,58.51
