IDNum,frag,dmg,spot,def,win
11089,1.21,646.79,0.11,1.69,55.37
11265,1.06,825.38,0.92,0.8,54.84
11281,1.48,560.48,1.02,1.55,57.84
11297,1.02,1428.02,0.52,0.95,51.13
11345,0.9,975.94,0.07,1.6,51.35
11521,0.88,1535.7,1.14,0.66,50.3
11537,1.12,1528.84,0.81,0.95,51.2
11553,1.17,887.73,1.46,1.26,55.1
11585,0.94,727.11,0.64,0.99,50.8
11601,0.98,1678.82,0.03,0.79,50.07
11777,1.19,627.56,0.88,1,54.51
11793,1.18,926.68,0.69,1.19,51.8
11809,1.12,908.16,1.76,1.32,53.5
11841,1.11,1885.08,0.07,1.23,49.03
11857,1.11,840.68,0.16,2.09,54.37
12033,0.96,1539.08,0.89,0.84,49.9
12049,1.07,2149.32,0.68,0.52,49.07
12097,0.94,1305.46,0.78,0.93,49.96
12113,0.92,1289.46,0.03,0.83,50.48
12289,1.02,679.81,1.98,0.98,54.12
12305,0.91,1823.23,1.44,0.72,48.41
12369,1.01,2216.84,0.03,0.96,51.71
12545,0.98,944.48,1.67,0.8,53.54
12561,1.11,239.54,3.03,1.12,56.64
12577,1.04,465.49,1.58,0.97,54.73
12817,1.17,189.92,2.58,0.99,57.99
12881,1.31,616.04,1.55,1.31,58.56
13073,1.03,273.03,1.85,1.31,58.03
13089,1.04,2150.46,0.83,0.61,49.21
13121,1.4,307.18,1.59,1.12,57.89
13137,1.01,1780.8,0.74,0.61,50.62
13313,1.02,1271.38,1.39,0.95,52.73
13329,1.23,428.95,1.06,1.31,55.42
13345,0.86,1133.43,0.99,0.98,51.12
13393,1.19,642.21,0.64,1.6,53.57
13569,1.15,2262.79,0.83,0.75,48.92
13585,1.18,401.05,1.73,1.25,57.62
13825,0.93,1704.46,1.6,0.77,48.64
13841,0.85,1160,1.21,0.99,50.5
13857,1.1,2289.6,0.81,0.61,51.33
13889,1.24,2314.56,0.91,0.74,49.63
13905,1.22,2288.35,0.59,0.57,48.7
14097,1.03,732.85,1.66,1.07,54.24
14113,0.88,1721.88,1.56,0.7,47.96
14145,0.67,468.26,2.56,0.77,53.87
14161,1.04,1011.29,0.96,1.33,51.45
14337,1.1,2168.98,0.98,0.8,50
14353,0.62,674.99,2.03,0.58,51
14401,0.95,1584.51,0.05,1.01,49.86
14417,1.12,877.86,1.04,1.35,53.23
14609,0.96,1829.68,1.63,0.92,47.9
14625,1.01,1253.2,1.3,1.04,52.01
14657,1.08,424.18,0.12,1.57,54.29
14673,1.14,1536.56,0.83,1.14,51.32
14865,0.86,1447.95,1.37,0.89,49.12
14881,1.11,2127.94,0.83,0.73,49.47
14913,1.06,391.46,1.26,1.09,55.66
15105,1.4,331.24,1.5,1.58,58.2
15121,0.97,189.16,0.19,1.26,56.19
15137,0.55,463.98,2.38,0.57,52.76
15169,1.46,241.67,1.4,1.75,59.1
15361,1.53,259.24,1.56,1.71,60.94
15377,0.9,1305.68,0.04,0.63,50.32
15393,1.11,1692.24,1.02,0.77,51.01
15425,0.96,1829.68,1.63,0.92,47.9
15617,1.01,1838.23,1.66,0.89,49.62
15633,1.22,470.74,0.11,1.71,55.31
15649,0.66,706.52,2.57,0.63,52.18
15681,0.86,1447.95,1.37,0.89,49.12
15873,1.09,376.11,1.7,1.29,58.73
15889,0.99,732.68,1.39,1.01,52.22
15905,0.88,1721.88,1.56,0.7,47.96
15937,1.46,241.67,1.4,1.75,59.1
16129,0.92,1066.21,0.04,0.82,52.27
16145,1.2,635.76,0.79,1.11,52.87
16161,1.01,1759.05,0.04,0.89,51.39
16385,1.02,572.59,0.09,1.21,53.18
16401,1.16,1947.2,0.67,0.93,50.72
16417,1.03,831.07,0.07,1.36,53.23
16641,0.52,380.4,3.22,0.62,52.86
16657,1.27,1698.57,0.62,1.11,52.01
16673,0.75,659.56,2.32,0.91,54.19
16897,1.01,1838.23,1.66,0.89,49.62
16913,1.43,2432.52,0.52,0.82,49.61
17153,1,1793.24,1.63,0.96,50.32
